Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-03 00:00:00+05:30,-2.070749661660502,-2.1626925468444824,-2.070749661660502,-2.1626925468444824,3804416,0.0,0.0
2000-01-04 00:00:00+05:30,-2.3357009008445737,-2.3357009008445737,-2.207180844828068,-2.3327417373657227,12100608,0.0,0.0
2000-01-05 00:00:00+05:30,-2.3176781810274787,-2.3176781810274787,-2.146125078201294,-2.146125078201294,15264256,0.0,0.0
2000-01-06 00:00:00+05:30,-2.110616414259696,-2.124411292784269,-1.9744402170181277,-1.9744402170181274,9052800,0.0,0.0
2000-01-07 00:00:00+05:30,-1.816509608241737,-1.816509608241737,-1.8164888620376587,-1.8164888620376587,696832,0.0,0.0
2000-01-10 00:00:00+05:30,-1.8278218098800547,-1.9588731849280587,-1.6711740589960662,-1.8898987770080566,36716160,0.0,0.0
2000-01-11 00:00:00+05:30,-1.9299037967969195,-1.9299037967969195,-1.7387136220932007,-1.7387136220932007,31226496,0.0,0.0
2000-01-12 00:00:00+05:30,-1.655385765825067,-1.8402371763421996,-1.6003441891113837,-1.7934725284576416,21319296,0.0,0.0
2000-01-13 00:00:00+05:30,-1.786437514583401,-1.8209247252896443,-1.6499992385304947,-1.6589796543121338,12755456,0.0,0.0
2000-01-14 00:00:00+05:30,-1.6501435505298871,-1.6985635794745444,-1.5466819502207905,-1.6665594577789307,18301568,0.0,0.0
2000-01-17 00:00:00+05:30,-1.7864371128742618,-1.7930586558408999,-1.621036487520112,-1.634658932685852,14982912,0.0,0.0
2000-01-18 00:00:00+05:30,-1.6277952073446285,-1.6964936830444273,-1.5726157087905732,-1.6884926557540894,16369792,0.0,0.0
2000-01-19 00:00:00+05:30,-1.6966325849318162,-1.8195449870111924,-1.6966325849318162,-1.7932312488555908,22184448,0.0,0.0
2000-01-20 00:00:00+05:30,-1.8002322281642842,-1.8620333038897707,-1.7367757664818648,-1.7426178455352783,17599232,0.0,0.0
2000-01-21 00:00:00+05:30,-1.731947311921169,-1.8761038185685304,-1.719807816624549,-1.8670681715011597,23618688,0.0,0.0
2000-01-24 00:00:00+05:30,-2.0137766768382144,-2.0164253208655505,-1.9381807308930616,-1.972667932510376,17801280,0.0,0.0
2000-01-25 00:00:00+05:30,-1.97266819404433,-2.000257958995999,-1.9065079915764875,-1.991981029510498,11948480,0.0,0.0
2000-01-27 00:00:00+05:30,-1.9864627293178014,-2.0620586720723955,-1.9864627293178014,-2.0162596702575684,12049344,0.0,0.03125
2000-01-28 00:00:00+05:30,-2.0344691411075213,-2.0968220060234826,-2.0344691411075213,-2.0830271244049072,17169088,0.0,0.0
2000-01-31 00:00:00+05:30,-2.041366336430054,-2.069231993948561,-1.9591488518704978,-1.9878422021865845,6149312,0.0,0.0
2000-02-01 00:00:00+05:30,-1.986462843991025,-2.037338337663446,-1.9619079560583583,-2.032261848449707,4218560,0.0,0.0
2000-02-02 00:00:00+05:30,-2.037503461909229,-2.069162706628807,-2.0112931939496654,-2.02508807182312,5298048,0.0,0.0
