,DATE,STOCK_PRICE,Indicator
174,2000-09-14,133.848434,train
175,2000-09-15,132.935944,train
176,2000-09-18,124.832031,train
177,2000-09-19,120.552345,train
178,2000-09-20,121.959373,train
179,2000-09-21,117.614845,train
180,2000-09-22,109.668747,train
181,2000-09-25,118.441406,train
182,2000-09-26,113.856247,train
183,2000-09-27,116.516403,train
184,2000-09-28,114.958595,train
185,2000-09-29,114.743752,train
186,2000-10-03,118.375778,train
187,2000-10-04,118.793747,train
188,2000-10-05,116.982033,train
189,2000-10-06,115.46328,train
190,2000-10-09,115.602341,train
191,2000-10-10,113.885941,train
192,2000-10-11,106.257813,train
193,2000-10-12,106.089844,train
194,2000-10-13,101.246094,train
195,2000-10-16,102.049217,train
196,2000-10-17,100.795311,train
197,2000-10-18,97.520309,train
198,2000-10-19,104.340622,train
199,2000-10-20,110.928909,train
200,2000-10-23,107.919533,train
201,2000-10-24,110.745316,train
202,2000-10-25,113.22422,train
203,2000-10-26,111.712502,train
204,2000-10-27,112.511719,train
205,2000-10-30,111.008591,train
206,2000-10-31,112.021873,train
207,2000-11-01,113.957031,train
208,2000-11-02,115.600784,train
209,2000-11-03,118.418747,train
210,2000-11-06,118.620316,train
211,2000-11-07,120.268753,train
212,2000-11-08,124.948441,train
213,2000-11-09,123.859375,train
214,2000-11-10,122.364059,train
215,2000-11-13,115.180466,train
216,2000-11-14,119.662498,train
217,2000-11-15,118.751564,train
218,2000-11-16,117.731247,train
219,2000-11-17,119.331253,train
220,2000-11-20,120.032028,train
221,2000-11-21,119.900002,train
222,2000-11-22,115.875,train
223,2000-11-23,116.214066,train
224,2000-11-24,116.284378,train
225,2000-11-27,118.555466,train
226,2000-11-28,116.615623,train
227,2000-11-29,115.699219,train
228,2000-11-30,111.854691,train
229,2000-12-01,113.511719,train
230,2000-12-04,112.43203,train
231,2000-12-05,112.288284,train
232,2000-12-06,113.989845,train
233,2000-12-07,113.693748,train
234,2000-12-08,115.439064,train
235,2000-12-11,116.784378,train
236,2000-12-12,116.553909,train
237,2000-12-13,119.114059,train
238,2000-12-14,117.685158,train
239,2000-12-15,112.117966,train
240,2000-12-18,111.0,train
241,2000-12-19,107.896873,train
242,2000-12-20,103.485153,train
243,2000-12-21,98.079689,train
244,2000-12-22,90.568748,train
245,2000-12-26,86.734375,train
246,2000-12-27,86.017189,train
247,2000-12-28,86.503906,train
248,2000-12-29,89.149216,train
249,2001-01-01,87.727341,train
250,2001-01-02,89.408592,train
251,2001-01-03,87.884377,train
252,2001-01-04,95.275002,train
253,2001-01-05,99.710938,train
254,2001-01-08,93.861717,train
255,2001-01-09,92.550003,train
256,2001-01-10,88.525002,train
257,2001-01-11,86.585159,train
258,2001-01-12,90.592972,train
259,2001-01-15,96.428909,train
260,2001-01-16,95.310936,train
261,2001-01-17,98.467186,train
262,2001-01-18,100.410934,train
263,2001-01-19,105.920311,train
264,2001-01-22,106.925003,train
265,2001-01-23,105.533592,train
266,2001-01-24,106.597656,train
267,2001-01-25,105.903122,train
268,2001-01-29,103.80703,train
269,2001-01-30,107.738281,train
270,2001-01-31,106.041405,train
271,2001-02-01,105.498436,train
272,2001-02-02,107.190628,train
273,2001-02-05,104.25,train
274,2001-02-06,104.475784,train
275,2001-02-07,101.400002,train
276,2001-02-08,102.133591,train
277,2001-02-09,100.096092,train
278,2001-02-12,99.628906,train
279,2001-02-13,99.737503,train
280,2001-02-14,99.404686,train
281,2001-02-15,101.517189,train
282,2001-02-16,97.721092,train
283,2001-02-19,98.516403,train
284,2001-02-20,97.989059,train
285,2001-02-21,92.375,train
286,2001-02-22,90.692184,train
287,2001-02-23,88.45448825,train
288,2001-02-26,89.359375,train
289,2001-02-27,88.989845,train
290,2001-02-28,97.787498,train
291,2001-03-01,86.0160195,train
292,2001-03-02,77.185158,train
293,2001-03-05,75.229691,train
294,2001-03-07,81.122658,train
295,2001-03-08,79.90078,train
296,2001-03-09,75.273438,train
297,2001-03-12,69.568748,train
298,2001-03-13,66.923439,train
299,2001-03-14,73.575783,train
300,2001-03-15,76.230469,train
301,2001-03-16,73.346878,train
302,2001-03-19,69.591408,train
303,2001-03-20,68.111717,train
304,2001-03-21,70.160156,train
305,2001-03-22,67.535934,train
306,2001-03-23,65.943748,train
